file,start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
./testing/chicken.wav,0 days 00:00:02.910000,0 days 00:00:02.930000,0.22115664,-32.34904,42.541462,0.03470314,-0.036411628,0.1306485,40.980305,30.658487,10.286172,15.905894,24.83668,0.011195845,0.7786364,7.482694,23.916548,51.791286,742.9673,1230.004,-24.876732,1871.629,1098.9186,-43.27178,2813.8398,746.94556,-43.275635
./testing/chicken.wav,0 days 00:00:02.920000,0 days 00:00:02.940000,0.18461919,-36.40156,46.564327,0.0283992,-0.029356709,0.10717523,41.900288,34.907223,14.591839,20.570868,24.959051,0.009014845,0.80919886,7.864319,24.578428,52.419903,679.78656,1461.7808,-25.270594,2073.7795,1286.705,-44.527008,2828.7861,2222.334,-43.220703
./testing/chicken.wav,0 days 00:00:02.930000,0 days 00:00:02.950000,0.17627096,-38.082035,48.498775,0.026748428,-0.022082359,0.078156374,41.26404,35.61233,21.47602,20.497217,24.961927,0.010170867,0.75075626,8.075725,26.944757,52.357296,568.9275,1608.2603,-22.546736,2073.4573,1999.1578,-44.486435,2552.3916,2451.7878,-42.974277
./testing/chicken.wav,0 days 00:00:02.940000,0 days 00:00:02.960000,0.16076738,-39.623627,50.345257,0.008696809,-0.018577477,0.05034545,41.658596,36.470478,23.883041,23.75112,24.888956,0.0077463924,0.39824998,8.048993,29.957153,52.6528,491.9685,1542.5121,-22.036158,1902.9896,2120.652,-44.41476,2433.2175,2493.5342,-43.31929
./testing/chicken.wav,0 days 00:00:02.950000,0 days 00:00:02.970000,0.14837205,-39.553288,49.433758,-0.011069685,-0.015970396,0.048613947,39.883747,35.5918,29.253138,23.305525,24.770796,0.0063724876,0.42474374,8.059059,33.0,52.902557,459.33032,1411.5121,-23.313553,1664.9238,3266.7305,-45.66333,2198.6978,1259.9526,-43.392868
./testing/chicken.wav,0 days 00:00:02.960000,0 days 00:00:02.980000,0.13358481,-39.805695,49.44997,-0.01261386,-0.01498522,0.053629633,39.63422,35.336246,30.164312,24.303343,24.669214,0.0010241632,0.61797637,8.12556,36.08742,54.302353,443.55627,1336.5104,-22.99251,1540.6758,2752.0564,-46.660583,2326.715,1074.153,-44.18811
./testing/chicken.wav,0 days 00:00:02.970000,0 days 00:00:02.990000,0.12362554,-39.09888,49.16322,-0.019386457,-0.013815786,0.055451114,38.53805,34.14728,29.964325,22.954605,24.635668,0.0015754703,0.61048985,8.064094,38.777004,56.1964,423.83755,1283.265,-21.58631,1519.726,2466.9558,-45.828125,2366.335,1009.4974,-45.147533
./testing/chicken.wav,0 days 00:00:02.980000,0 days 00:00:03,0.11475733,-38.78992,49.651215,-0.012873548,-0.010486853,0.04882099,38.509186,33.12642,27.588888,21.019585,24.67884,0.008819311,0.9909863,7.6158295,40.15367,57.342686,390.7051,1252.1458,-23.174662,1461.7896,1284.2081,-44.746937,2491.9324,870.2498,-45.40398
./testing/chicken.wav,0 days 00:00:02.990000,0 days 00:00:03.010000,0.10472363,-38.79791,50.569134,-0.01912293,-0.006092652,0.03910498,37.28502,33.411243,27.626303,21.954638,24.756662,0.009161391,1.0574626,6.766008,38.60684,57.278324,384.93527,1218.8887,-23.961908,1426.2438,1185.02,-42.44266,2483.8044,837.992,-45.261707
./testing/chicken.wav,0 days 00:00:03,0 days 00:00:03.020000,0.09517007,-38.95525,51.969036,-0.021674136,-0.005951768,0.032703828,37.09685,33.905556,27.967821,23.189293,24.82841,0.009791811,1.0672333,5.8158875,35.705013,54.78308,386.12878,1209.7128,-25.10023,1477.4713,1142.1724,-41.98491,2592.0312,926.2793,-44.1783
